loan_status,annual_inc,verification_status,emp_length,home_ownership,int_rate,loan_amnt,purpose,term,grade
Charged Off,1.00E+05,Source Verified,10+ years,OWN,14.91,5500,home_improvement, 60 months,D
Charged Off,174996,Source Verified,4 years,MORTGAGE,17.14,30000,debt_consolidation, 60 months,E
Fully Paid,60000,Verified,7 years,RENT,19.74,26000,medical, 60 months,F
Fully Paid,41520,Source Verified,10+ years,OWN,7.29,4400,debt_consolidation, 36 months,A
Fully Paid,63996,Source Verified,4 years,RENT,10.74,3200,major_purchase, 36 months,B
Fully Paid,45996,Source Verified,7 years,RENT,15.65,2500,other, 36 months,D
Fully Paid,62500,Not Verified,1 year,RENT,10.37,2800,car, 60 months,B
Fully Paid,43500,Source Verified,4 years,MORTGAGE,15.28,13000,debt_consolidation, 60 months,D
Fully Paid,70000,Source Verified,6 years,MORTGAGE,12.68,18250,other, 60 months,C
Fully Paid,39996,Not Verified,3 years,RENT,9.63,7000,other, 36 months,B
Charged Off,40000,Verified,1 year,RENT,18.25,14000,debt_consolidation, 60 months,F
Fully Paid,24000,Source Verified,6 years,RENT,10.74,5000,debt_consolidation, 36 months,B
Fully Paid,116676,Verified,3 years,MORTGAGE,10.37,35000,home_improvement, 60 months,B
Fully Paid,72000,Source Verified,10+ years,MORTGAGE,10.00,10000,credit_card, 36 months,B
Fully Paid,75000,Verified,4 years,MORTGAGE,10.37,24000,credit_card, 60 months,B
Fully Paid,107004,Verified,2 years,MORTGAGE,7.29,10000,home_improvement, 36 months,A
Fully Paid,58000,Not Verified,7 years,RENT,13.06,8500,car, 60 months,C
Fully Paid,126000,Source Verified,4 years,MORTGAGE,18.99,15750,home_improvement, 60 months,F
Fully Paid,35000,Not Verified,2 years,RENT,9.63,2000,medical, 36 months,B
Charged Off,38600,Verified,9 years,OWN,15.28,19300,debt_consolidation, 60 months,D
Fully Paid,125000,Verified,9 years,MORTGAGE,10.00,25000,debt_consolidation, 36 months,B
Fully Paid,95000,Source Verified,5 years,RENT,16.40,21000,debt_consolidation, 60 months,E
Fully Paid,55000,Not Verified,< 1 year,RENT,19.36,17625,credit_card, 60 months,F
Fully Paid,27000,Not Verified,4 years,RENT,9.63,8000,small_business, 60 months,B
Fully Paid,105600,Not Verified,< 1 year,MORTGAGE,7.29,10000,debt_consolidation, 36 months,A
Fully Paid,47000,Source Verified,1 year,RENT,7.66,5300,car, 36 months,A
Fully Paid,24000,Source Verified,2 years,RENT,10.37,2500,debt_consolidation, 36 months,B
Fully Paid,54000,Source Verified,10+ years,RENT,12.68,1000,vacation, 36 months,C
Fully Paid,74000,Verified,2 years,MORTGAGE,10.37,35000,debt_consolidation, 60 months,B
Fully Paid,78000,Verified,10+ years,RENT,15.65,20000,credit_card, 60 months,D
Fully Paid,170000,Source Verified,10+ years,MORTGAGE,11.11,20000,debt_consolidation, 36 months,B
Fully Paid,48000,Verified,2 years,RENT,14.54,5000,debt_consolidation, 36 months,D
Fully Paid,117000,Source Verified,10+ years,RENT,7.66,10000,debt_consolidation, 36 months,A
Fully Paid,62400,Not Verified,10+ years,MORTGAGE,5.42,12000,debt_consolidation, 36 months,A
Fully Paid,26000,Not Verified,1 year,RENT,13.80,7200,major_purchase, 60 months,C
Fully Paid,120000,Not Verified,10+ years,MORTGAGE,10.74,14000,home_improvement, 36 months,B
Fully Paid,28284,Not Verified,8 years,RENT,7.66,6000,major_purchase, 36 months,A
Fully Paid,84000,Verified,1 year,MORTGAGE,12.68,30000,debt_consolidation, 60 months,C
Fully Paid,71000,Source Verified,10+ years,MORTGAGE,18.25,14400,medical, 60 months,F
Charged Off,66000,Verified,2 years,RENT,12.68,20000,debt_consolidation, 60 months,C
Charged Off,93600,Source Verified,7 years,MORTGAGE,14.17,10000,home_improvement, 60 months,C
Fully Paid,58000,Not Verified,3 years,MORTGAGE,6.92,4500,home_improvement, 36 months,A
Fully Paid,60000,Verified,4 years,RENT,18.62,25000,credit_card, 60 months,F
Fully Paid,70000,Verified,10+ years,RENT,14.54,30000,credit_card, 36 months,D
Fully Paid,42000,Verified,4 years,MORTGAGE,6.92,7050,debt_consolidation, 36 months,A
Fully Paid,75000,Source Verified,5 years,MORTGAGE,10.74,10000,credit_card, 36 months,B
Fully Paid,108000,Verified,2 years,MORTGAGE,17.88,18000,home_improvement, 60 months,E
Fully Paid,55000,Verified,2 years,OWN,10.37,24375,credit_card, 36 months,B
Fully Paid,30000,Source Verified,1 year,RENT,9.63,4300,debt_consolidation, 36 months,B
Fully Paid,30000,Not Verified,1 year,RENT,7.29,7200,debt_consolidation, 36 months,A
Fully Paid,86000,Not Verified,9 years,MORTGAGE,7.66,8400,debt_consolidation, 36 months,A
Fully Paid,87492,Not Verified,2 years,RENT,13.06,6000,car, 60 months,C
Charged Off,50004,Not Verified,4 years,RENT,15.65,16700,debt_consolidation, 60 months,D
Charged Off,50400,Source Verified,< 1 year,RENT,10.00,1325,moving, 36 months,B
Fully Paid,43680,Not Verified,1 year,RENT,5.42,10800,credit_card, 36 months,A
Fully Paid,56000,Verified,5 years,RENT,13.06,18000,debt_consolidation, 60 months,C
Charged Off,60000,Verified,7 years,MORTGAGE,7.29,5000,car, 60 months,A
Fully Paid,24000,Source Verified,< 1 year,RENT,16.77,3500,car, 60 months,E
Fully Paid,50000,Not Verified,4 years,RENT,11.11,6000,credit_card, 36 months,B
Fully Paid,90000,Verified,4 years,MORTGAGE,17.88,16000,home_improvement, 60 months,E
Fully Paid,105600,Verified,10+ years,MORTGAGE,17.88,35000,credit_card, 60 months,E
Fully Paid,28800,Not Verified,2 years,RENT,10.37,8875,debt_consolidation, 36 months,B
Fully Paid,38196,Source Verified,1 year,RENT,10.00,4000,debt_consolidation, 36 months,B
Charged Off,60000,Source Verified,10+ years,MORTGAGE,12.68,8000,debt_consolidation, 60 months,C
Fully Paid,55000,Not Verified,2 years,MORTGAGE,11.11,5000,home_improvement, 36 months,B
Fully Paid,1.00E+05,Source Verified,10+ years,MORTGAGE,10.37,7000,debt_consolidation, 60 months,B
Charged Off,21600,Source Verified,1 year,RENT,15.65,4500,moving, 36 months,D
Charged Off,74872,Verified,4 years,RENT,19.74,23000,credit_card, 60 months,F
Fully Paid,125000,Verified,9 years,MORTGAGE,9.63,8400,home_improvement, 36 months,B
Fully Paid,59232,Verified,10+ years,RENT,14.91,25000,debt_consolidation, 60 months,D
Charged Off,51690.48,Verified,8 years,MORTGAGE,16.77,22250,debt_consolidation, 60 months,E
Fully Paid,55000,Verified,< 1 year,RENT,20.48,25000,credit_card, 60 months,G
Charged Off,30000,Not Verified,3 years,RENT,15.65,15000,debt_consolidation, 60 months,D
Fully Paid,33600,Verified,4 years,RENT,15.65,3300,credit_card, 36 months,D
Fully Paid,75500,Verified,7 years,OWN,17.88,16000,other, 60 months,E
Fully Paid,35256,Not Verified,2 years,RENT,10.74,3000,other, 36 months,B
Fully Paid,103000,Source Verified,10+ years,MORTGAGE,10.74,8000,home_improvement, 36 months,B
Fully Paid,62004,Source Verified,< 1 year,MORTGAGE,11.11,12000,home_improvement, 36 months,B
Fully Paid,63000,Not Verified,3 years,RENT,7.29,8900,debt_consolidation, 36 months,A
Fully Paid,90000,Verified,10+ years,MORTGAGE,11.11,15000,credit_card, 36 months,B
Fully Paid,90000,Verified,9 years,MORTGAGE,19.36,20000,debt_consolidation, 60 months,F
Charged Off,90000,Verified,< 1 year,MORTGAGE,10.74,5600,debt_consolidation, 36 months,B
Fully Paid,53000,Source Verified,10+ years,MORTGAGE,5.42,5000,major_purchase, 36 months,A
Fully Paid,73000,Verified,4 years,RENT,14.91,8000,debt_consolidation, 60 months,D
Fully Paid,77705.4,Source Verified,4 years,MORTGAGE,16.77,4000,vacation, 36 months,E
Fully Paid,72000,Not Verified,5 years,RENT,10.00,8000,house, 36 months,B
Fully Paid,27996,Source Verified,1 year,RENT,17.51,5000,major_purchase, 36 months,E
Fully Paid,46350,Not Verified,< 1 year,MORTGAGE,10.00,9750,credit_card, 36 months,B
Charged Off,14004,Source Verified,< 1 year,RENT,16.40,2400,other, 60 months,E
Charged Off,39000,Not Verified,1 year,RENT,14.54,9750,debt_consolidation, 36 months,D
Fully Paid,40000,Source Verified,4 years,OWN,12.68,11000,debt_consolidation, 60 months,C
Fully Paid,95000,Verified,< 1 year,MORTGAGE,13.06,11000,other, 36 months,C
Fully Paid,85000,Not Verified,6 years,MORTGAGE,10.37,10675,debt_consolidation, 60 months,B
Fully Paid,193000,Verified,10+ years,MORTGAGE,21.22,21000,moving, 60 months,G
Fully Paid,1.00E+05,Source Verified,3 years,MORTGAGE,14.91,15000,debt_consolidation, 60 months,D
Charged Off,95000,Verified,10+ years,MORTGAGE,19.36,25000,debt_consolidation, 60 months,F
Fully Paid,49268.48,Verified,10+ years,RENT,5.79,12000,debt_consolidation, 36 months,A
Fully Paid,50000,Verified,3 years,RENT,16.02,10800,major_purchase, 60 months,D
Fully Paid,63000,Not Verified,10+ years,RENT,10.00,5000,vacation, 36 months,B
Fully Paid,56056,Verified,3 years,RENT,10.37,5600,debt_consolidation, 36 months,B
Fully Paid,93000,Verified,10+ years,MORTGAGE,17.14,35000,debt_consolidation, 60 months,E
Fully Paid,85000,Not Verified,10+ years,MORTGAGE,7.29,2400,small_business, 60 months,A
Charged Off,18900,Not Verified,9 years,RENT,10.74,5125,other, 60 months,B
Fully Paid,36000,Verified,10+ years,RENT,10.74,24500,major_purchase, 60 months,B
Fully Paid,60000,Not Verified,2 years,RENT,10.00,8000,debt_consolidation, 36 months,B
Fully Paid,48000,Verified,3 years,RENT,11.11,11500,debt_consolidation, 36 months,B
Fully Paid,48000,Verified,10+ years,MORTGAGE,12.68,21600,major_purchase, 60 months,C
Charged Off,25404,Not Verified,10+ years,RENT,12.68,9950,debt_consolidation, 36 months,C
Fully Paid,63996,Source Verified,4 years,MORTGAGE,12.68,3500,other, 60 months,C
Fully Paid,100500,Verified,7 years,RENT,12.68,15000,debt_consolidation, 60 months,C
Fully Paid,47508,Not Verified,3 years,RENT,10.74,10000,debt_consolidation, 36 months,B
Fully Paid,25000,Source Verified,3 years,RENT,11.11,5600,major_purchase, 36 months,B
Charged Off,50000,Not Verified,< 1 year,OWN,7.66,12000,small_business, 60 months,A
Fully Paid,86000,Verified,5 years,MORTGAGE,11.11,28100,debt_consolidation, 60 months,B
Fully Paid,60000,Verified,3 years,RENT,20.11,20000,moving, 60 months,G
Fully Paid,80000,Not Verified,10+ years,MORTGAGE,14.54,20000,debt_consolidation, 36 months,D
Fully Paid,51000,Verified,3 years,RENT,11.11,20000,debt_consolidation, 60 months,B
Charged Off,75000,Source Verified,< 1 year,MORTGAGE,14.91,35000,home_improvement, 60 months,D
Fully Paid,45000,Not Verified,7 years,MORTGAGE,11.11,16000,debt_consolidation, 60 months,B
Charged Off,130490,Verified,8 years,MORTGAGE,16.77,35000,debt_consolidation, 60 months,E
Fully Paid,100079,Verified,4 years,MORTGAGE,16.02,17000,debt_consolidation, 36 months,D
Fully Paid,15360,Verified,2 years,RENT,10.37,6250,wedding, 60 months,B
Fully Paid,36000,Not Verified,1 year,RENT,5.42,3000,medical, 36 months,A
Fully Paid,69996,Source Verified,< 1 year,RENT,13.06,6000,debt_consolidation, 36 months,C
Fully Paid,50000,Verified,2 years,RENT,13.43,24925,small_business, 60 months,C
Fully Paid,62500,Source Verified,9 years,RENT,11.11,12000,car, 60 months,B
Fully Paid,54000,Not Verified,10+ years,MORTGAGE,10.37,10000,other, 60 months,B
Fully Paid,75000,Not Verified,2 years,RENT,16.77,18000,credit_card, 60 months,E
Fully Paid,48000,Not Verified,3 years,MORTGAGE,10.74,4800,credit_card, 36 months,B
Fully Paid,52000,Source Verified,6 years,RENT,15.28,8000,debt_consolidation, 60 months,D
Fully Paid,56004,Source Verified,< 1 year,RENT,6.92,14000,debt_consolidation, 36 months,A
Fully Paid,57984,Verified,2 years,RENT,10.37,20000,debt_consolidation, 60 months,B
Fully Paid,85000,Verified,10+ years,RENT,10.37,6000,debt_consolidation, 36 months,B
Fully Paid,78000,Not Verified,3 years,MORTGAGE,13.06,6000,car, 60 months,C
Fully Paid,48000,Not Verified,< 1 year,RENT,7.29,1000,debt_consolidation, 36 months,A
Fully Paid,43200,Not Verified,3 years,RENT,14.17,5000,other, 36 months,C
Fully Paid,50000,Verified,7 years,MORTGAGE,13.06,9800,debt_consolidation, 60 months,C
Fully Paid,55000,Not Verified,4 years,MORTGAGE,6.92,3600,debt_consolidation, 36 months,A
Fully Paid,78000,Verified,5 years,MORTGAGE,5.79,12000,home_improvement, 36 months,A
Fully Paid,18000,Not Verified,1 year,RENT,13.80,1800,moving, 36 months,C
Fully Paid,84000,Not Verified,4 years,MORTGAGE,6.92,7000,credit_card, 36 months,A
Fully Paid,32000,Source Verified,2 years,RENT,16.02,8600,debt_consolidation, 36 months,D
Fully Paid,42000,Not Verified,10+ years,RENT,12.68,7000,home_improvement, 36 months,C
Fully Paid,62400,Source Verified,10+ years,MORTGAGE,13.06,7000,other, 36 months,C
Charged Off,18000,Not Verified,1 year,RENT,13.06,2400,major_purchase, 36 months,C
Fully Paid,50000,Source Verified,10+ years,MORTGAGE,10.00,5000,home_improvement, 36 months,B
Fully Paid,50000,Source Verified,4 years,MORTGAGE,10.00,12000,debt_consolidation, 60 months,B
Fully Paid,33996,Source Verified,8 years,MORTGAGE,14.91,4000,home_improvement, 36 months,D
Fully Paid,54000,Source Verified,5 years,RENT,17.88,11200,debt_consolidation, 60 months,E
Fully Paid,36996,Source Verified,3 years,RENT,12.68,15000,other, 60 months,C
Charged Off,70000,Verified,10+ years,RENT,16.77,25000,debt_consolidation, 60 months,E
Fully Paid,204000,Verified,6 years,MORTGAGE,13.06,10000,home_improvement, 36 months,C
Fully Paid,57996,Not Verified,7 years,RENT,16.02,8000,debt_consolidation, 60 months,D
Fully Paid,42000,Source Verified,6 years,RENT,10.37,6850,debt_consolidation, 36 months,B
Fully Paid,77000,Verified,10+ years,MORTGAGE,10.37,27000,other, 60 months,B
Fully Paid,105000,Source Verified,9 years,OWN,16.02,15000,debt_consolidation, 60 months,D
Fully Paid,50004,Source Verified,2 years,RENT,18.25,5000,debt_consolidation, 36 months,F
Charged Off,60000,Verified,10+ years,MORTGAGE,17.88,10000,debt_consolidation, 60 months,E
Fully Paid,52960,Source Verified,10+ years,MORTGAGE,13.80,20000,home_improvement, 60 months,C
Charged Off,162000,Source Verified,5 years,MORTGAGE,12.68,22000,debt_consolidation, 60 months,C
Fully Paid,50400,Not Verified,1 year,RENT,5.42,1000,other, 36 months,A
Fully Paid,172000,Verified,5 years,MORTGAGE,10.37,15000,home_improvement, 36 months,B
Fully Paid,103000,Verified,10+ years,MORTGAGE,10.37,6800,car, 60 months,B
Fully Paid,40000,Source Verified,< 1 year,RENT,7.66,8600,credit_card, 36 months,A
Fully Paid,63700,Not Verified,2 years,RENT,14.91,10600,debt_consolidation, 36 months,D
Charged Off,43000,Source Verified,6 years,RENT,11.11,3000,vacation, 36 months,B
Fully Paid,81510,Source Verified,6 years,MORTGAGE,7.66,5000,other, 36 months,A
Fully Paid,50000,Verified,< 1 year,RENT,5.79,2800,credit_card, 36 months,A
Fully Paid,98700,Not Verified,6 years,MORTGAGE,13.06,9600,debt_consolidation, 36 months,C
Fully Paid,33000,Source Verified,5 years,RENT,14.54,4800,debt_consolidation, 36 months,D
Charged Off,32652,Not Verified,2 years,RENT,16.40,1200,other, 60 months,E
Fully Paid,39996,Not Verified,10+ years,RENT,13.06,15000,debt_consolidation, 36 months,C
Fully Paid,65000,Verified,10+ years,RENT,10.74,20000,debt_consolidation, 36 months,B
Fully Paid,50000,Not Verified,4 years,OWN,15.28,7200,home_improvement, 60 months,D
Fully Paid,98000,Not Verified,4 years,MORTGAGE,9.63,5200,debt_consolidation, 36 months,B
Charged Off,40000,Verified,2 years,MORTGAGE,14.91,15000,small_business, 60 months,D
Charged Off,125000,Verified,5 years,MORTGAGE,16.02,35000,debt_consolidation, 60 months,D
Fully Paid,52596,Source Verified,1 year,RENT,10.74,15000,other, 36 months,B
Fully Paid,93996,Source Verified,10+ years,MORTGAGE,12.68,19600,debt_consolidation, 60 months,C
Fully Paid,61200,Source Verified,5 years,MORTGAGE,10.74,2800,car, 60 months,B
Fully Paid,13200,Source Verified,6 years,RENT,15.65,4000,other, 36 months,D
Fully Paid,65000,Verified,3 years,RENT,11.11,20000,wedding, 60 months,B
Fully Paid,26000,Source Verified,3 years,RENT,7.66,9400,debt_consolidation, 60 months,A
Fully Paid,30000,Not Verified,1 year,MORTGAGE,7.29,4800,home_improvement, 60 months,A
Fully Paid,50000,Source Verified,9 years,MORTGAGE,17.88,14000,home_improvement, 60 months,E
Charged Off,172008,Source Verified,2 years,MORTGAGE,16.40,30000,debt_consolidation, 60 months,E
Charged Off,42000,Source Verified,4 years,MORTGAGE,10.37,11200,debt_consolidation, 60 months,B
Fully Paid,40000,Source Verified,10+ years,RENT,10.74,8000,debt_consolidation, 60 months,B
Fully Paid,93000,Source Verified,10+ years,RENT,5.42,4000,house, 36 months,A
Fully Paid,36000,Source Verified,1 year,RENT,12.68,6000,debt_consolidation, 36 months,C
Fully Paid,73350,Verified,6 years,MORTGAGE,16.40,20000,debt_consolidation, 60 months,E
Fully Paid,36996,Source Verified,4 years,RENT,14.91,5775,major_purchase, 36 months,D
Fully Paid,120000,Verified,7 years,RENT,13.80,20000,debt_consolidation, 36 months,C
Fully Paid,48000,Not Verified,8 years,MORTGAGE,13.06,12000,small_business, 60 months,C
Fully Paid,39456,Source Verified,10+ years,OWN,7.29,14000,debt_consolidation, 36 months,A
Fully Paid,54000,Verified,6 years,RENT,16.77,6000,major_purchase, 60 months,E
Fully Paid,96900,Source Verified,1 year,RENT,5.42,4800,credit_card, 36 months,A
Fully Paid,125000,Source Verified,9 years,RENT,10.74,4800,home_improvement, 60 months,B
Fully Paid,36000,Source Verified,3 years,OWN,13.43,10000,major_purchase, 60 months,C
Fully Paid,110000,Verified,2 years,MORTGAGE,11.11,9000,home_improvement, 36 months,B
Fully Paid,24000,Source Verified,10+ years,RENT,7.29,8000,moving, 36 months,A
Fully Paid,58800,Verified,10+ years,RENT,7.66,20000,debt_consolidation, 36 months,A
Fully Paid,38000,Source Verified,< 1 year,RENT,7.29,5000,debt_consolidation, 36 months,A
Fully Paid,65000,Verified,10+ years,MORTGAGE,14.91,25000,small_business, 60 months,D
Fully Paid,183456,Source Verified,2 years,MORTGAGE,13.80,35000,home_improvement, 60 months,C
Fully Paid,50000,Verified,2 years,RENT,15.65,19500,debt_consolidation, 60 months,D
Fully Paid,35000,Verified,2 years,RENT,7.66,11900,debt_consolidation, 36 months,A
Charged Off,60000,Not Verified,10+ years,OWN,9.63,16000,other, 60 months,B
Fully Paid,104606,Source Verified,10+ years,MORTGAGE,15.28,5000,car, 36 months,D
Fully Paid,281988,Source Verified,10+ years,OWN,15.28,29000,debt_consolidation, 60 months,D
Charged Off,50000,Verified,5 years,RENT,11.11,15000,small_business, 36 months,B
Fully Paid,9600,Source Verified,< 1 year,RENT,7.29,1500,debt_consolidation, 36 months,A
Fully Paid,24100,Source Verified,1 year,RENT,10.37,4800,car, 60 months,B
Fully Paid,95004,Source Verified,2 years,MORTGAGE,15.28,10000,debt_consolidation, 36 months,D
Fully Paid,450000,Verified,10+ years,MORTGAGE,11.11,35000,major_purchase, 36 months,B
Fully Paid,28500,Verified,< 1 year,RENT,10.00,7000,home_improvement, 36 months,B
Fully Paid,65000,Source Verified,1 year,MORTGAGE,10.00,10800,home_improvement, 36 months,B
Fully Paid,40000,Verified,9 years,MORTGAGE,16.02,7100,home_improvement, 60 months,D
Fully Paid,81000,Verified,4 years,OWN,13.43,9000,major_purchase, 36 months,C
Charged Off,80000,Not Verified,10+ years,MORTGAGE,12.68,1500,home_improvement, 36 months,C
Charged Off,20004,Source Verified,2 years,OWN,9.63,2500,other, 36 months,B
Fully Paid,30000,Source Verified,2 years,OWN,12.68,12500,home_improvement, 60 months,C
Fully Paid,36000,Source Verified,6 years,RENT,10.74,10500,debt_consolidation, 36 months,B
Fully Paid,30000,Verified,< 1 year,RENT,14.54,10000,debt_consolidation, 36 months,D
Fully Paid,35496,Source Verified,< 1 year,RENT,14.17,10000,debt_consolidation, 60 months,C
Fully Paid,35000,Source Verified,9 years,OWN,13.43,6500,debt_consolidation, 36 months,C
Fully Paid,36996,Not Verified,6 years,RENT,10.00,12000,debt_consolidation, 60 months,B
Fully Paid,20000,Source Verified,< 1 year,RENT,10.37,2150,debt_consolidation, 36 months,B
Charged Off,50000,Not Verified,5 years,RENT,14.17,2800,home_improvement, 36 months,C
Fully Paid,110000,Verified,8 years,MORTGAGE,11.11,30000,credit_card, 36 months,B
Fully Paid,69500,Verified,10+ years,MORTGAGE,20.11,20000,debt_consolidation, 60 months,G
Fully Paid,33000,Not Verified,< 1 year,RENT,7.66,11000,debt_consolidation, 36 months,A
Fully Paid,114996,Not Verified,8 years,MORTGAGE,6.92,15000,home_improvement, 36 months,A
Fully Paid,55000,Verified,10+ years,RENT,17.51,16000,debt_consolidation, 60 months,E
Fully Paid,30000,Verified,4 years,RENT,14.17,3600,other, 36 months,C
Fully Paid,54600,Source Verified,4 years,RENT,14.17,7000,home_improvement, 60 months,C
Charged Off,60000,Verified,10+ years,MORTGAGE,15.28,10000,major_purchase, 60 months,D
Fully Paid,43000,Not Verified,10+ years,MORTGAGE,12.68,6000,credit_card, 60 months,C
Fully Paid,1.00E+05,Source Verified,8 years,MORTGAGE,7.66,10000,debt_consolidation, 36 months,A
Fully Paid,75000,Source Verified,10+ years,RENT,16.02,6000,other, 36 months,D
Fully Paid,31100,Source Verified,2 years,RENT,9.63,5000,debt_consolidation, 36 months,B
Charged Off,85000,Verified,10+ years,MORTGAGE,12.68,35000,home_improvement, 60 months,C
Fully Paid,54000,Verified,4 years,RENT,9.63,5600,credit_card, 36 months,B
Charged Off,40300,Source Verified,9 years,RENT,17.14,8000,debt_consolidation, 60 months,E
Fully Paid,41500,Source Verified,3 years,RENT,7.29,5000,major_purchase, 36 months,A
Fully Paid,60000,Source Verified,< 1 year,MORTGAGE,18.62,25000,credit_card, 60 months,F
Fully Paid,112200,Verified,10+ years,MORTGAGE,5.79,6800,car, 36 months,A
Fully Paid,50000,Source Verified,1 year,MORTGAGE,12.68,6000,credit_card, 60 months,C
Fully Paid,60000,Source Verified,7 years,MORTGAGE,11.11,7000,car, 36 months,B
Fully Paid,38176,Source Verified,10+ years,MORTGAGE,14.91,8000,debt_consolidation, 60 months,D
Fully Paid,42000,Verified,3 years,RENT,6.92,14000,debt_consolidation, 36 months,A
Fully Paid,150000,Source Verified,9 years,MORTGAGE,5.79,8200,credit_card, 36 months,A
Fully Paid,50000,Source Verified,2 years,RENT,7.66,7000,major_purchase, 36 months,A
Fully Paid,41056,Verified,2 years,RENT,14.91,10000,major_purchase, 60 months,D
Charged Off,39500,Source Verified,5 years,RENT,13.80,2000,other, 36 months,C
Charged Off,51000,Not Verified,1 year,RENT,5.79,6000,debt_consolidation, 36 months,A
Fully Paid,65496,Source Verified,3 years,MORTGAGE,10.37,13250,debt_consolidation, 36 months,B
Fully Paid,12000,Not Verified,2 years,RENT,10.37,3075,debt_consolidation, 36 months,B
Fully Paid,53004,Verified,3 years,MORTGAGE,10.00,5000,debt_consolidation, 36 months,B
Fully Paid,62500,Not Verified,8 years,RENT,13.43,15000,debt_consolidation, 60 months,C
Fully Paid,185000,Source Verified,10+ years,MORTGAGE,6.92,10000,credit_card, 36 months,A
Charged Off,30000,Not Verified,10+ years,RENT,10.37,6000,credit_card, 36 months,B
Fully Paid,40000,Verified,5 years,OWN,7.66,8000,debt_consolidation, 36 months,A
Fully Paid,191000,Verified,10+ years,MORTGAGE,11.11,34000,home_improvement, 60 months,B
Fully Paid,39000,Source Verified,6 years,MORTGAGE,10.37,18000,debt_consolidation, 60 months,B
Fully Paid,78000,Not Verified,< 1 year,OWN,10.74,10000,home_improvement, 60 months,B
Fully Paid,63000,Source Verified,3 years,RENT,14.54,5400,credit_card, 36 months,D
Fully Paid,104000,Source Verified,10+ years,MORTGAGE,14.91,10500,home_improvement, 60 months,D
Fully Paid,37000,Source Verified,2 years,RENT,11.11,4500,debt_consolidation, 36 months,B
Fully Paid,44000,Not Verified,1 year,RENT,6.92,2800,debt_consolidation, 36 months,A
Fully Paid,30000,Not Verified,< 1 year,RENT,12.68,10000,debt_consolidation, 36 months,C
Fully Paid,38400,Not Verified,2 years,RENT,6.92,5500,debt_consolidation, 36 months,A
Fully Paid,19000,Source Verified,5 years,RENT,13.06,3000,debt_consolidation, 36 months,C
Fully Paid,120000,Verified,10+ years,MORTGAGE,12.68,15600,credit_card, 60 months,C
Fully Paid,50000,Not Verified,3 years,RENT,9.63,7000,debt_consolidation, 36 months,B
Fully Paid,31000,Source Verified,7 years,MORTGAGE,7.66,6000,major_purchase, 36 months,A
Fully Paid,140000,Source Verified,< 1 year,MORTGAGE,5.79,3500,home_improvement, 36 months,A
Fully Paid,75600,Verified,10+ years,MORTGAGE,10.37,24575,other, 60 months,B
Fully Paid,14400,Source Verified,< 1 year,RENT,5.79,2000,debt_consolidation, 36 months,A
Fully Paid,54000,Source Verified,3 years,MORTGAGE,7.29,5600,car, 60 months,A
Fully Paid,204000,Source Verified,10+ years,MORTGAGE,10.37,16000,home_improvement, 60 months,B
Fully Paid,61000,Not Verified,1 year,RENT,13.06,14000,other, 60 months,C
Fully Paid,69600,Verified,7 years,MORTGAGE,13.06,2000,car, 60 months,C
Fully Paid,72061,Source Verified,8 years,MORTGAGE,14.17,4200,medical, 36 months,C
Fully Paid,87000,Source Verified,< 1 year,MORTGAGE,14.91,15000,home_improvement, 60 months,D
Charged Off,78000,Source Verified,5 years,RENT,12.68,18000,debt_consolidation, 60 months,C
Fully Paid,75000,Source Verified,6 years,RENT,16.02,9000,wedding, 60 months,D
Fully Paid,165000,Source Verified,3 years,MORTGAGE,13.80,16000,home_improvement, 60 months,C
Fully Paid,32000,Source Verified,10+ years,RENT,10.37,18725,debt_consolidation, 60 months,B
Fully Paid,124800,Verified,4 years,MORTGAGE,17.14,15000,car, 60 months,E
Charged Off,84000,Verified,5 years,RENT,13.06,8000,home_improvement, 60 months,C
Fully Paid,68000,Source Verified,6 years,RENT,13.43,16000,debt_consolidation, 60 months,C
Fully Paid,66500,Source Verified,< 1 year,MORTGAGE,7.66,4200,major_purchase, 36 months,A
Fully Paid,28114,Verified,< 1 year,RENT,10.00,8800,debt_consolidation, 36 months,B
Fully Paid,14400,Source Verified,2 years,RENT,13.43,3000,debt_consolidation, 36 months,C
Fully Paid,43000,Source Verified,4 years,RENT,17.14,8000,wedding, 60 months,E
Fully Paid,67100,Verified,10+ years,RENT,14.91,28000,debt_consolidation, 60 months,D
Fully Paid,80000,Verified,4 years,MORTGAGE,13.80,16000,house, 36 months,C
Fully Paid,240000,Verified,10+ years,MORTGAGE,11.11,30000,other, 60 months,B
Fully Paid,48000,Source Verified,3 years,OWN,13.80,4500,home_improvement, 36 months,C
Fully Paid,35500,Source Verified,10+ years,MORTGAGE,14.91,10175,home_improvement, 60 months,D
Charged Off,48000,Not Verified,< 1 year,MORTGAGE,14.91,14000,debt_consolidation, 60 months,D
Fully Paid,95500,Source Verified,1 year,RENT,11.11,12000,debt_consolidation, 36 months,B
Fully Paid,37000,Source Verified,2 years,RENT,5.42,2000,debt_consolidation, 36 months,A
Fully Paid,69996,Verified,< 1 year,OWN,18.62,6200,small_business, 60 months,F
Fully Paid,145000,Source Verified,6 years,MORTGAGE,17.51,16000,debt_consolidation, 60 months,E
Fully Paid,60000,Verified,< 1 year,RENT,7.29,24000,credit_card, 36 months,A
